Score,Time
100,01:12.927
100,01:13.679
100,01:18.873
100,01:20.356
100,01:22.048
100,01:22.712
100,01:41.203
100,01:41.541
100,01:42.665
100,01:44.343
100,02:10.267
100,02:23.803
100,02:33.357
100,02:40.822
100,03:13.262
100,03:19.536
100,03:49.156
100,03:51.778
100,04:02.368
100,04:42.065
100,05:12.434
100,06:58.957
100,47:23.149
100,391:15.995
100,721:03.670
98,01:38.506
98,02:57.507
98,05:35.875
98,06:02.688
98,06:22.620
98,15:12.917
96,01:41.718
96,116:59.148
94,01:58.094
94,06:10.178
83,04:21.963
79,10:30.425
79,10:34.862
71,04:36.407
64,04:37.131
62,78:32.238
53,05:17.925
42,05:15.976
15,02:44.135
